랠리	ラリー
스피커	スピーカー
스피커	話し手
스피커	議長
애틀란타	atl
샐러드	サラダ
밸런스	ヴァランス
끓는	茹でる
코스프레	コスプレ
싸우기	ファイト
픽업	ピックアップ
말레이어	マレー
바륨	バリウム
결함	瑕疵
결함	欠陥
더스틴	ダスティン
프로방스	プロヴァンス
경호원	ボディーガード
경호원	ボディガード
오푸스	opus
동거	同棲
나열	上場
블랙베리	blackberry
양심적	良心
부수	附帯
부수	付随
드롭	ドロップ
안장	サドル
교훈	訓戒
할로윈	ハロウィン
추상	抽象
악어	クロコダイル
악어	ワニ
정오	正午
안정성	安定
안정성	安定性
손목	手首
샬롯	シャルロット
교통사고	アクシデント
교통사고	事故
이클립스	eclipse
걸작	名作
걸작	傑作
카시니	カッシーニ
우상	偶像
결투	決闘
짐승	野獣
짐승	ビースト
태즈메이니아	タスマニア
ㅋㅋ	lol
벌레	バグ
벌레	不具合
벌레	bug
운석	隕石
스토리지	ストレージ
카피	コピー
가오	ガオ
세르지오	セルジオ
자니	ジョニー
아르헨티나인	アルゼンチン
소품	小道具
애버딘	アバディーン
차베스	チャベス
소문자	小文字
마틸다	マチルダ
속임수	欺瞞
경감	検査官
도미노	ドミノ
아발론	avalon
레게	レゲエ
베컴	ベッカム
강조하기	ハイライト
촉매	触媒
리보르노	リヴォルノ
암모니아	アンモニア
수분	流体
스코페	スコピエ
굴절	屈折
몬티	モンティ
모래시계	砂塵
에이코	栄子
데뷔해	デビュー
셜리	シャーリー
파스텔	パステル
연구실	研究室
연구실	ラボ
벨벳	ベルベット
마쓰나가	松永
윙스	ウイングス
전화기	電話
전화기	電話機
트랩	トラップ
고어	ゴア
쥬얼리	ジュエリー
쥬얼리	宝石
호날두	ロナウド
협곡	峡谷
플로렌스	フローレンス
플로렌스	フィレンツェ
스틱	スティック
다섯번째	フィフス
우드로	ウッドロウ
롤러	ローラー
머리카락	ヘアー
머리카락	髪の毛
머리카락	ヘア
머리카락	毛髪
패러다임	パラダイム
비만	肥満
코디	コーディー
맘루크	マムルーク
반복한다	繰り返す
반복한다	繰り返し
코번트리	コヴェントリー
게이츠	ゲイツ
냄새	匂い
냄새	におい
꼭두각시	パペット
발렌틴	ヴァレンティン
파머	パーマー
스카이라인	スカイライン
애완동물	ペット
트랜스젠더	トランスジェンダー
로미오	ロミオ
로미오	ロメオ
조교	助手
조교	アシスタント
쿠미	クミ
구토	嘔吐
초음파	超音波
아미르	アミール
습관	習慣
루커스	ルーカス
필사적으로	必死
사피어	サファル
출국	出発
그램	グラム
스케줄	日程
스케줄	スケジュール
역행	逆行
발자국	足音
출석	出席
출석	傍聴
덴류	天竜
절도	盗難
절도	窃盗
램지	ラムジー
토시오	俊夫
카드뮴	カドミウム
카트린	キャサリン
양모	ウール
영리	賢い
시저	シーザー
체사레	チェーザレ
스레드	スレッド
창세기	ジェネシス
위스키	ウィスキー
위스키	ウイスキー
피크	山頂
피크	ピーク
후퇴	退却
후퇴	撤退
효율적	効率
깃털	羽毛
번식	繁殖
카트리지	実包
카트리지	カートリッジ
클립	クリップ
사파이어	サファイア
임페리얼	インペリアル
폐기	破棄
트래비스	トラヴィス
구강	口頭
페덱스	フェデックス
비숍	ビショップ
브레시아	ブレーシャ
몰디브	モルディブ
마젤란	マゼラン
참여하기	参加
비료	厩肥
첨부	添付
약학	薬学
약학	薬局
타일	タイル
아르메니아인	アルメニア
식료품	食材
키트	キット
키트	kit
효율성	実効
조경	横長
조경	風景
조경	横向き
롯폰기	六本木
승천	想定
승천	就任
베냉	ベナン
라이터	ライター
위젯	バナー
위젯	バッジ
기밀	機密
기밀	内密
종양	腫瘍
닉스	ニックス
브라이턴	ブライトン
알레르기	アレルギー
공포증	恐怖
공포증	恐れ
보이드	ボイド
서른	三十
서른	thirty
덩컨	ダンカン
국민의회	議会
국민의회	国会
추출	リッピング
트랙터	トラクター
주민들	住民
나누기	分ける
나누기	割る
나누기	除算
존스턴	ジョンストン
데비	デビー
스턴트	スタント
플로이드	フロイド
망가니즈	マンガン
봉쇄	封鎖
마감	締切
마감	締め切り
마감	期限
코피	鼻血
하야카와	早川
배달	デリバリー
식별자	識別子
옥상	屋上
옥상	屋根
세그먼트	セグメント
세그먼트	線分
파월	パウエル
헬스	健康
페인트	塗料
페인트	絵の具
베이커리	ベーカリー
살롱	サロン
카탈로그	カタログ
탄성	弾性
웨버	ウェバー
스플릿	分ける
스플릿	分割
스플릿	スプリット
반주	前菜
허니	ハニー
허니	はちみつ
허니	蜂蜜
구독	引受け
구독	購読
실링	シリング
전자책	ebook
쟈니	ジョニー
슬럼프	スランプ
채우기	埋める
루벤	ルベン
안내서	ガイド
냉장고	冷凍庫
냉장고	フリーザ
오웬	オーウェン
오웬	オーエン
전염병	疫病
전염병	ペスト
타사	ターシャ
찬양	賞賛
찬양	賛美
감비아	ガンビア
루퍼트	ルパート
매켄지	マッケンジー
브라우닝	ブラウニング
브라우닝	ブローニング
광대	道化師
왈츠	ワルツ
하녀	メイド
할리	ハーレー
명왕성	冥王星
명왕성	プルート
도우미	ヘルパー
그레나다	グレナダ
트램	トラム
스케치북	スケッチブック
와우	wow
카르멘	カルメン
트레버	トレヴァー
트레버	トレバー
꽃잎	花弁
꽃잎	花びら
위상수학	トポロジー
망상	妄想
오디세이	オデッセイ
사진기	カメラ
솔직한	正直
접두어	プレフィックス
힐스	ヒルズ
수리남	スリナム
밀크	牛乳
밀크	ミルク
저마늄	ゲルマニウム
비버	ビーバー
킨샤사	キンシャサ
외상	トラウマ
외상	外傷
저격수	スナイパー
스트롱	強い
스트롱	濃い
잉크	インク
프랫	プラット
전동기	モーター
삭제되었습니다	削除
샌디	サンディ
아멘	アーメン
아헨	アーヘン
스포일러	スポイラー
군중	群衆
군중	群集
군중	人混み
양말	ソックス
양말	靴下
양말	socks
플러그	プラグ
컴포넌트	コンポーネント
다카시마	高島
베르겐	ベルゲン
히라가나	平仮名
청문회	聴聞
청문회	審問
베르누이	ベルヌーイ
책상	デスク
박물관과	美術館
박물관과	博物館
천왕성	天王星
리디아	リュディア
리디아	リディア
파나소닉	パナソニック
리무진	リムジン
커튼	カーテン
최고경영자	ceo
콜카타	コルカタ
하모니	ハーモニー
하모니	調和
도검	刀剣
걱정	心配
추천합니다	おすすめ
추천합니다	すすめる
추천합니다	薦める
원뿔	円錐
원뿔	コーン
스모	相撲
가장자리	エッジ
물방울	ドロップ
동기화	同期
덧셈	加算
덧셈	加法
메이플	メープル
메이플	カエデ
세이셸	セーシェル
마리카	マリカ
코인	硬貨
코인	コイン
다이어그램	ダイアグラム
스티커	ステッカー
스티커	スタンプ
푸껫	プーケット
특권	特権
뉴먼	ニューマン
일렉트로	エレクトロ
시러큐스	シラキュース
에르미트	エルミート
루디	ルディ
호기심	好奇心
수표	小切手
깔끔한	ストレート
깔끔한	きちんと
런칭	打ち上げ
런칭	起動
소시지	ソーセージ
명절	祝日
명절	休日
육아	育児
햄버거	ハンバーガー
충돌구	クレーター
바이너리	バイナリ
척도	スケール
척도	縮尺
척도	目盛
아름다움	美容
파트리크	パトリック
카운트	カウント
앵무새	オウム
비욘세	ビヨンセ
스피어스	スピアーズ
금액	金額
스파이더	スパイダー
스파이더	クモ
감기	風邪
타카코	貴子
악몽	ナイトメア
악몽	悪夢
이삭	アイザック
이삭	イサク
크로뮴	クロム
호라이즌	地平線
호라이즌	ホライズン
호라이즌	水平線
로터스	ハス
로터스	ロータス
구획	包み
구획	小包
뫼비우스	メビウス
사본	原稿
사본	写本
주전자	やかん
메모	メモ
배틀필드	戦場
삼위일체	三位一体
테슬라	テスラ
안티오코스	アンティオコス
가속도	加速度
가속도	加速
겐타	ケンタ
겐타	健太
수축	収縮
릴리스	リリース
옥스포드	オックスフォード
샐러리맨	サラリーマン
패드	パッド
연어	サケ
연어	サーモン
자수	刺繍
입스위치	イプスウィッチ
급여	給料
급여	俸給
급여	給与
올버니	オールバニ
올버니	アルバニー
서신	書簡
로빈스	ロビンス
정상회의	サミット
정상회의	頂上
프라이버시	プライバシー
베릴륨	ベリリウム
예카테린부르크	エカテリンブルク
척추	脊柱
척추	背骨
척추	脊椎
해산물	魚介類
해산물	シーフード
거북	カメ
총격	銃声
정교	洗練された
트라이	tri
포르테	フォルテ
담장	フェンス
워리어스	戦士
워리어스	ウォリアーズ
부리	くちばし
라듐	ラジウム
비엔티안	ヴィエンチャン
캡처	キャプチャー
캡처	キャプチャ
캡처	攻略
라인업	ラインナップ
캐니언	峡谷
재활용	リサイクル
나우루	ナウル
팩스	ファックス
팩스	ファクシミリ
팩스	ファクス
팩스	fax
스크롤	巻物
뮌스터	ミュンスター
그람	グラム
메이크업	メイク
메이크업	化粧
슈퍼마켓	スーパーマーケット
루마니아어	ルーマニア
니코시아	ニコシア
명주	シルク
이민호	入国
이민호	移民
제철	スチール
제철	鋼鉄
진보주의	プログレッシブ
찰스턴	チャールストン
칼럼니스트	コラムニスト
몸무게가	重量
몸무게가	体重
방문자	ビジター
끌기	ドラッグ
불꽃놀이	花火
리온	レオン
바이올리니스트	ヴァイオリン
반죽을	生地
헬멧	ヘルメット
글쓰기	執筆
글쓰기	書き込み
글쓰기	筆記
버트	バート
카타리나	カタリナ
플레처	フレッチャー
사진작가	カメラマン
기억해	remember
비밀번호	パスワード
버블	バブル
독립적	独立
독립적	インディペンデント
곡률	曲率
바늘	縫合
보복	報復
의사결정	決断
의사결정	決定
마찰	摩擦
사탄	サタン
이데올로기	イデオロギー
낭만	ロマンチック
오만의	オマーン
대피	避難
냉동	冷蔵
냉동	冷却
용지	用紙
용지	ペーパー
푸딩	プディング
푸딩	プリン
다빈치	ヴィンチ
엡실론	イプシロン
이중성	双対
편안하게	リラックス
인턴	インターン
퀴리	キュリー
데비안	debian
점심	昼食
점심	ランチ
관용	許容
관용	寛容
사교	社交
파인애플	パイナップル
펄서	パルサー
브리짓	ブリジット
염증	伝染病
염증	感染
애머스트	アマースト
사이클링	サイクリング
성형외과	プラスチック
성형외과	合成樹脂
보호자	プロテクター
폴더	フォルダ
마이스페이스	myspace
보훔	ボーフム
에디슨	エジソン
접근성	アクセシビリティ
사기꾼	詐欺
수식	数式
마차	ワゴン
위험하다	危険
파도바	パドヴァ
스케줄링	スケジューリング
스케줄링	スケジュール
플린트	フリント
살로	サロ
약어	略語
승강기	エレベーター
낙타	キャメル
낙타	ラクダ
방침	ポリシー
방침	政策
방침	方針
프레젠테이션	プレゼン
프레젠테이션	プレゼンテーション
준비하기	準備
박탈	撤回
박탈	取り消す
공황	パニック
뚱뚱한	脂肪
사탕	キャンディ
사탕	キャンディー
뮤즈	ムーサ
뮤즈	ミューズ
뮤즈	muse
오션스	大洋
세제	洗剤
유도탄	ミサイル
피코	ピコ
변경됨	変更された
쇠퇴	辞退
쇠퇴	拒否
쇠퇴	却下
감금	禁錮
알라딘	アラジン
채무자	借受
라비	スーリヤ
코페르니쿠스	コペルニクス
하마드	ハマド
디바이스	デバイス
디바이스	機器
키티	キティ
이메일로	メールアドレス
이메일로	メール
쇼타임	開演
매듭	結び目
리베카	レベッカ
블러디	ブラッディ
드래그	ドラッグ
머리카락이	ヘアー
머리카락이	髪の毛
머리카락이	ヘア
머리카락이	毛髪
압도적	圧倒的
비공개로	非公開
갈래	チル
갈래	寒気
갈래	chill
페라라	フェラーラ
블레이즈	ブレイズ
시력	ヴィジョン
시력	ビジョン
시력	vision
순례	巡礼
스파크	スパークス
타겟	ターゲット
린치	リンチ
동료들	同僚
선더	サンダー
초승달	三日月
크래프트	クラフト
목격자	証人
타이타늄	チタン
먼데이	月曜日
노숙자	ホームレス
로드리고	ロドリゴ
울타리	フェンス
사운드클라우드	soundcloud
비스콘티	ヴィスコンティ
파울로	ポール
파울로	パウル
검색어	問い合わせ
히스토리	履歴
히스토리	由緒
히스토리	歴史
히스토리	沿革
캐리어	キャリア
트레일러	トレーラー
트레일러	予告編
셔츠	シャツ
존중	尊敬
존중	尊重
존중	リスペクト
존중	敬意
셰프	シェフ
지프	ジープ
영장	令状
테크니컬	テクニカル
캐나디안	カナダ
캐나디안	カナディアン
헤르메스	ヘルメース
폴리네시아	ポリネシア
디즈니랜드	ディズニーランド
의심스러운	不審
조준	aim
식물학	プラント
식물학	植物
칼라일	カーライル
단테	ダンテ
알링턴	アーリントン
모순	矛盾
누드	ヌード
목욕탕	風呂
목욕탕	入浴
컴뱃	戦闘
경계선	境界
대담	デアリング
플렉스	flex
플렉스	フレックス
이득이	利得
기울기	ティルト
기울기	傾き
후지오카	藤岡
에센	エッセン
산탄데르	サンタンデール
배포판	分布
배포판	流通
배포판	配当
라운지	ラウンジ
안정화	安定
아담스	アダムズ
아담스	アダムス
두통	頭痛
성사	サクラメント
설문조사	アンケート
방법론	方法論
델파이	delphi
신디	シンディ
매크로	マクロ
탄환	弾丸
탄환	銃弾
관절	関節
풍선	バルーン
풍선	風船
슬러그	ナメクジ
방울	ドロップ
도달하기	リーチ
연휴	祝日
연휴	休日
나침반	コンパス
인듐	インジウム
재구성	再建
농지	農地
쿼드	quad
컬트	カルト
시모어	シーモア
스커트	スカート
스파게티	スパゲティ
스파게티	スパゲッティ
석호	ラグーン
낙원	パラダイス
낙원	楽園
고혈압	高血圧
라바트	ラバト
견인	けん引
콜리시엄	コロシアム
섹시한	セクシー
생태학	エコロジー
생태학	生態学
저장소	ストレージ
워리어	戦士
아랍인	アラブ
프레스토	プレスト
살림	サリム
예배당	チャペル
배제	除外
갑판	甲板
갑판	デッキ
매핑	写像
매핑	マッピング
접시	プレート
자궁	子宮
보조정리	補題
마그누스	マグナス
멘도사	メンドーサ
억압	弾圧
아일랜드어	アイリッシュ
정사각형	正方形
정사각형	四角
정사각형	広場
천둥	サンダー
방사	放射線
방사	放射
제다이	ジェダイ
위니펙	ウィニペグ
조각상	彫像
연회	宴会
바닷가	ビーチ
캥거루	カンガルー
즐거움	快感
즐거움	喜び
즐거움	快楽
남색	インディゴ
그늘	シェイド
그늘	日陰
그늘	シェード
톨레도	トレド
메이트	マテ
메이트	メイト
상거래	商業
상거래	コマース
세라믹	陶磁器
과일과	フルーツ
과일과	果実
과일과	果物
만기	失効
보렐	ボレル
비슈케크	ビシュケク
벙커	バンカー
알렉시스	アレクシス
죠지	ジョージ
복도	廊下
홀랜드	オランダ
메커니즘	機構
메커니즘	メカニズム
호소	アピール
호소	抗告
호소	上告
프랭키	フランキー
걸리버	ガリバー
모더니즘	モダニズム
설교	説教
솔라리스	solaris
스기모토	杉本
조이스	ジョイス
애니메이터	アニメーター
브렌던	ブレンダン
가필드	ガーフィールド
맨틀	マントル
스트론튬	ストロンチウム
마작	麻雀
어부	漁師
줄리어스	ジュリアス
줄리어스	ユリウス
라호르	ラホール
포르투나	フォルトゥーナ
브레이커	ブレーカー
나디아	ナディア
닿소리	子音
타이타닉	タイタニック
포도당	グルコース
탄수화물	炭水化物
테러리즘	テロリズム
테러리즘	テロ
멜라니	メラニー
오시	オシ
크리스찬	クリスチャン
크리스찬	キリスト教
크리스찬	キリスト教徒
아이맥스	imax
조식	朝食
아틀란티스	アトランティス
각막	角膜
킴벌리	キンバリー
추산	見積もり
홈스	ホームズ
미디	midi
유기적	有機
만델라	マンデラ
휴스	ヒューズ
스티치	スティッチ
요구르트	ヨーグルト
할렘	ハーレム
팔라듐	パラジウム
콜트	コルト
배려	思いやり
방수	防水
부러진	壊れた
아루바	アルバ
사중주	カルテット
나쁘다	バッド
나쁘다	悪い
적위	dec
인형극	パペット
카와구치	川口
비스무트	ビスマス
트래픽	トラフィック
트래픽	交通
오션	大洋
애니메이트	アニメイト
화장	火葬
비욘드	ビヨンド
테무르	テムル
모카	モカ
공부하기	勉強
배신	裏切り
산토	サント
무의식	無意識
에이핑크	apink
월요일부터	月曜日
황혼	夕暮れ
도밍고	ドミンゴ
랩소디	ラプソディ
기질	気質
워해머	warhammer
의존	依存
스피어	球体
스피어	球面
스피어	球形
저작자	帰属
타타르족	タタール
이드	イード
모서리	エッジ
동창회	同窓会
동창회	再会
티롤	チロル
파울리	パウリ
은혜	恩寵
은혜	グレース
은혜	グレイス
석양	夕焼け
석양	日没
레이븐	レイヴン
잠수	潜る
잠수	ダイビング
킬링	キル
킬링	kill
졸라	ゾラ
부어	腫れ
노르웨이어	ノルウェー
지르코늄	ジルコニウム
티에리	ティエリー
트리거	引き金
트리거	トリガー
클러치	クラッチ
기다린다	待つ
기다린다	待ち
폐허	廃墟
폐허	遺跡
액세서리	アクセサリー
삭스	sax
삭스	サックス
비행선	飛行船
트레이	トレイ
손바닥	手のひら
손바닥	ヤシ
손바닥	パーム
구애	求愛
청량	やわらかい
청량	柔らかい
청량	ソフト
아이린	イレーネ
아이린	アイリーン
